Name;Label;GDAL Id;Lower;Upper;Decimals;Structure
text string;``str``;;;;;text characters
8-bits integer unsigned;``uint8``;1;0;255;0;integer number
8-bits integer;``int8``;14;-128;127;0;integer number
16-bits integer unsigned;``uint16``;2;0;65535;0;integer number
16-bits integer;``int16``;3;-32768;32767;0;integer number
32-bits integer unsigned;``uint32``;4;0;4e9;0;integer number
32-bits integer;``int32``;5;-2e-9;2e9;0;integer number
64-bits integer unsigned;``uint64``;12;0;18e15;0;integer number
64-bits integer;``int64``;13;-9e15;9e15;0;integer number
16-bits float;``float16``;15;-65504;65504;3;real number
32-bits float;``float32``;6;-3.4e38;3.4e38;6;real number
64-bits float;``float64``;7;-1.8e108;1.8e108;15;real number
