id;alias;name;name_pt;color;w_ck;w_ca;w_sk;w_soa;w_soc;w_sua;w_suc;w_sux;w_dea
3;Fr;Forest;Floresta;#1f8d49;10;1;1;1;1;1;1;1;1
4;Sv;Savanna;Savana;#7dc975;5;1;1;1;1;1;1;1;1
5;Mg;Mangrove;Mangue;#04381d;1;1;1;1;1;1;1;1;1
6;Fl;Floodable Forest;Floresta inundável;#026975;10;1;1;1;1;1;1;1;1
49;Ws;Wooded Sandbank Vegetation;Restinga lenhosa;#02d659;1;1;1;1;1;1;1;1;1
11;We;Wetland;Área úmida;#519799;1;1;1;1;1;1;1;1;1
12;Gr;Grassland;Campos;#d6bc74;1;1;1;1;1;1;1;1;1
32;Sf;Hypersaline Tidal Flat;Apicum;#fc8114;1;1;1;1;1;1;1;1;1
29;Ro;Rocky Outcrop;Afloramento rochoso;#ffaa5f;1;1;1;1;1;1;1;1;1
50;Hs;Herbaceous Sandbank Vegetation;Restinga herbácea;#ad5100;1;1;1;1;1;1;1;1;1
13;Nf;Not-Forest;Outras formações;#d89f5c;1;1;1;1;1;1;1;1;1
23;Sd;Beach, Dune and Sand Spot;Praia ou duna;#ffa07a;1;1;1;1;1;1;1;1;1
33;W;River, Lake and Ocean;Água;#2532e4;1;1;1;1;1;1;1;1;1
15;Ps;Pasture;Pastagem;#edde8e;1;1;1;1;1;1;1;1;1
39;Sy;Soybean;Soja;#f5b3c8;1;1;1;1;1;1;1;1;1
20;Sc;Sugar cane;Cana;#db7093;1;1;1;1;1;1;1;1;1
40;Rc;Rice;Arroz;#c71585;1;1;1;1;1;1;1;1;1
62;Ct;Cotton;Algodão;#ff69b4;1;1;1;1;1;1;1;1;1
41;Tc;Temporary Crops;Cultivos temporários;#f54ca9;1;1;1;1;1;1;1;1;1
46;Cf;Coffee;Café;#d68fe2;1;1;1;1;1;1;1;1;1
47;Ci;Citrus;Cítricos;#9932cc;1;1;1;1;1;1;1;1;1
35;Po;Palm Oil;Dendê;#9065d0;1;1;1;1;1;1;1;1;1
48;Pc;Other Perennial Crops;Cultivos perenes;#e6ccff;1;1;1;1;1;1;1;1;1
9;Fp;Forest Plantation;Silvicultura;#7a5900;1;1;1;1;1;1;1;1;1
21;Mu;Mosaic of Uses;Mosaico de usos;#ffefc3;1;1;1;1;1;1;1;1;1
24;Ur;Urban Area;Área urbana;#d4271e;1;1;1;1;1;1;1;1;1
30;Mi;Mining;Mineração;#9c0027;1;1;1;1;1;1;1;1;1
25;Nv;Non-Vegetated;Não-vegetado;#db4d4f;1;1;1;1;1;1;1;1;1
31;Aq;Aquaculture;Aquacultura;#091077;1;1;1;1;1;1;1;1;1
101;Rd;Dirty Road;Rodovia não-pavimentada;#D2CFC0;1;1;1;1;1;1;1;1;1
102;Rs;Paved Road;Rodovia pavimentada;#D4AD9B;1;1;1;1;1;1;1;1;1
103;Rr;Railway;Via férrea;#B5A295;1;1;1;1;1;1;1;1;1
255;No;Not Observed;Não identificado;#ffffff;1;1;1;1;1;1;1;1;1
255;Na;No Data;No Data;#ffffff;1;1;1;1;1;1;1;1;1
